name,arrival
vgg11,53
shufflenetv2_w2,154
zfnet,326
bagnet9,368
alexnet,735
resnet12,1315
darknet19,1585
mnasnet_b1,1817
sqnxt23_w3d2,1916
bn_vgg13,1924
drnd38,2438
peleenet,2518
mixnet_s,2535
sharesnet101,2735
resnetd50b,2850
dla34,3073
shufflenet_g2_w1,3107
preresnet16,3403
sepreresnet14,3472
bninception,3687
bn_vgg11,3733
regnetx004,4003
diracnet34v2,4007
shufflenet_g3_w3d4,4078
scneta50,4101
sharesnet152,4948
bam_resnet34,4949
resnetd101b,4955
mobilenet_w1,5172
sparsenet161,5277
sqnxt23v5_w1,5285
hrnetv2_w64,6136
senet103,6324
shufflenet_g4_w1,6406
regnetx160,6731
bagnet17,6897
preresnet10,7752
fishnet150,8287
senet52,8444
preresnet18_wd2,8532
hardnet39ds,8614
regnety006,9226
cbam_resnet18,9550
scneta101,9612
regnetx016,9732
hardnet68,9876
senet28,10151
seresnetbc38b,10318
diaresnet50,10319
alexnetb,11033
dicenet_wd2,11256
drnc42,11288
resnesta50,11292
proxylessnas_mobile,11446
sparsenet264,11491
octresnet10_ad2,11515
bam_resnet101,11852
efficientnet_b6,12204
diapreresnet18,12558
shufflenet_g1_wd4,12866
preresnet101,12938
sepreresnet152,14331
diapreresnetbc38b,14377
sepreresnet26,14377
ibnb_resnet50,14708
proxylessnas_mobile14,14817
resnet18,15115
drnd22,15563
sepreresnetbc26b,15879
sharesnet152b,16110
seresnet18,16319
dpn68,16331
dla46xc,16437
mobilenetb_wd2,16560
mobilenetv3_large_w5d4,16585
diapreresnet34,16925
bn_vgg16,16946
mobilenetv2b_wd4,16957
diapreresnet269b,17490
selecsls42,17515
efficientnet_b5,17628
bn_vgg16b,18010
shufflenetv2_wd2,18159
efficientnet_b3,18289
seresnet101,18391
cbam_resnet50,18510
dla102,18699
shufflenet_g1_wd2,18780
preresnet200,18785
condensenet74_c4_g4,18806
dpn68b,18877
sparsenet201,19165
efficientnet_b7,19202
resnet18_w3d4,19239
seresnext101_64x4d,19306
regnetx120,19316
diapreresnet200b,19332
dla60xc,19335
preresnet18_wd4,19393
regnety002,19414
regnety032,19450
squeezenet_v1_1,19689
resnesta18,20051
efficientnet_edge_small_b,20103
bn_vgg13b,20139
shufflenet_g3_wd4,20269
resnesta269,20313
sparsenet121,20463
senet40,20574
sepreresnet34,20613
preresnet14,20643
dicenet_w3d2,20665
espnetv2_w5d4,20669
mixnet_l,20703
diaresnet200,20726
espnetv2_w2,20851
mobilenet_wd2,21008
dla46c,21017
regnety080,21061
dicenet_w1,21157
drnc26,21190
mobilenet_wd4,21209
seresnet200,21433
sepreresnet18,21686
dicenet_wd5,21706
selecsls60,21738
regnetx080,21776
diaresnet12,21835
sparsenet169,21886
resnetd152b,22332
resnet200,22769
xdensenet201_2,22783
mobilenetv3_small_w5d4,23032
senet154,23040
ibn_densenet169,23136
dla60x,23293
mobilenetv2_wd2,23478
menet108_8x1_g3,23900
bn_vgg19,24040
bam_resnet50,24132
proxylessnas_cpu,24362
diaresnetbc38b,24755
mobilenetv2b_w3d4,24780
scnet101,24855
seresnet34,24869
dla169,25125
diapreresnet200,25129
efficientnet_b1,25679
hrnetv2_w18,25875
mobilenetv3_large_w7d20,25897
diaresnet101,25898
cbam_resnet34,25952
diapreresnet10,26080
proxylessnas_gpu,26243
preresnet34,26853
diapreresnet12,26876
sepreresnet101,27132
resnesta152,27142
shufflenetv2b_w1,27229
seresnet152,28189
preresnetbc38b,28296
efficientnet_edge_large_b,28299
resneta152b,28324
vgg19,28451
vovnet27s,28545
fastseresnet101b,29028
regnetx002,29320
igcv3_wd4,29471
diaresnet14,29521
preresnet269b,29642
hardnet68ds,29685
ibn_densenet201,29793
sharesnet50b,29800
senet16,29929
regnety004,29967
sqnxt23v5_w2,30121
menet352_12x1_g8,30497
zfnetb,30543
bn_vgg19b,30609
resnext26_32x2d,30804
mobilenetv3_large_wd2,31051
vovnet57,31677
resnetabc14b,32106
sepreresnet12,32466
regnety040,32515
vovnet39,32596
menet348_12x1_g3,32946
resnext14_16x4d,34002
nasnet_4a1056,34030
resnet26,34069
seresnet14,34292
diapreresnet101b,34546
hrnet_w18_small_v2,34676
resnext26_16x4d,34890
diaresnet16,34921
sqnxt23_w2,35088
resnesta200,35214
drnd54,35521
fbnet_cb,35522
ghostnet,35933
diracnet18v2,36412
darknet_tiny,37006
diaresnet50b,37014
resnet18_wd4,37391
regnetx006,38258
efficientnet_b8,38666
darknet_ref,38837
menet128_8x1_g4,39008
resneta10,39121
resnesta101,39396
seresnext101_32x4d,39520
diapreresnet26,39571
espnetv2_w3d2,39717
hrnet_w18_small_v1,40797
resnetbc38b,40872
shufflenet_g1_w3d4,41412
mobilenetb_wd4,41451
efficientnet_b4,41465
cbam_resnet101,41496
regnety160,41797
diaresnet152b,41948
diapreresnet152,41995
hrnetv2_w44,42080
mobilenetv3_large_w3d4,42116
sharesnet101b,42254
seresnet16,42409
mobilenetv2_wd4,42431
espnetv2_w1,42454
resneta18,42628
mobilenetv3_large_w1,42637
resnext101_64x4d,42713
resnet10,42722
squeezenet_v1_0,42924
resnet16,42962
preresnet18_w3d4,43067
darknet53,43095
shufflenetv2_w3d2,43199
preresnet12,43335
bam_resnet18,43361
preresnet18,43451
menet228_12x1_g3,43791
vgg16,43792
resneta101b,43904
efficientnet_edge_medium_b,44020
spnasnet,44133
igcv3_w3d4,44136
vgg13,44520
resnet50,44525
diapreresnet152b,45023
mobilenetb_w3d4,45357
regnety064,45742
dicenet_w3d4,45825
espnetv2_wd2,45928
shufflenetv2b_w2,46100
diaresnet18,46176
dpn131,46304
resnet18_wd2,46431
seresnetbc26b,46677
pyramidnet101_a360,46762
bagnet33,46849
efficientnet_b2,46908
mobilenetv2_w3d4,47144
preresnetbc14b,47167
resnetbc26b,47520
dpn107,47542
cbam_resnet152,47551
resnestabc14,47584
resnestabc26,47625
condensenet74_c8_g8,47653
sknet152,47847
hardnet85,47939
regnety120,47949
resnetbc14b,48105
mobilenetv3_small_wd2,48203
mobilenetv2b_wd2,48293
diapreresnet101,48345
hrnetv2_w32,48499
seresnet50,48629
mobilenetv3_small_w7d20,48706
resnext14_32x4d,48718
sharesnet34,48791
darts,48890
fishnet99,49258
regnety320,49273
channelnet,49321
sknet50,49359
regnetx008,49497
xdensenet161_2,49661
diaresnet10,49853
xdensenet169_2,49922
drnc58,49933
menet456_24x1_g3,50117
fdmobilenet_wd2,50374
resnet101,50500
seresnext50_32x4d,51722
sepreresnet16,51831
resnext26_32x4d,51835
preresnet50,52305
dicenet_w7d8,52318
igcv3_wd2,52669
resnet34,52743
ibnb_resnet152,53012
ibn_densenet121,53192
ibnb_resnet101,53306
diaresnetbc26b,53429
regnetx040,53744
shufflenetv2b_w3d2,53871
diapreresnetbc14b,53880
prnet,53905
fdmobilenet_wd4,53916
dla102x2,54104
diaresnet26,54120
menet256_12x1_g4,54160
mobilenet_w3d4,54721
mnasnet_small,54788
sqnxt23v5_w3d2,54941
mobilenetv3_small_w3d4,54975
igcv3_w1,55819
sepreresnet10,55883
diaresnet34,55884
mnasnet_a1,56382
diaresnet101b,57311
seresnet26,57443
hrnetv2_w40,57481
selecsls60b,57526
diapreresnet16,57716
resnext14_32x2d,57799
resnext38_32x4d,58057
msdnet22,58304
shufflenet_g1_w1,58460
sepreresnet50,58959
regnetx032,59001
scnet50,59002
shufflenetv2_w1,59225
ibn_densenet161,59318
preresnetbc26b,59449
diapreresnetbc26b,59614
regnetx064,59640
diapreresnet50b,59670
hrnetv2_w48,59985
fdmobilenet_w3d4,60105
bn_vgg11b,60149
mobilenetv2b_w1,60160
drnd105,60443
resnext50_32x4d,60616
resnet14,60727
shufflenet_g3_w1,60815
preresnet26,60844
regnety016,60854
xdensenet121_2,61417
dla102x,61560
resneta50b,61634
shufflenet_g8_w1,61660
bam_resnet152,61683
mobilenetv3_small_w1,63215
fdmobilenet_w1,64332
diapreresnet14,64801
dla60,64959
sharesnet18,65519
seresnet12,66759
shufflenet_g3_wd2,66765
dicenet_w5d4,66807
diapreresnet50,67152
efficientnet_b0,67302
preresnet152,67998
seresnet10,68178
diaresnet200b,68615
sepreresnet200,69215
mobilenetb_w1,69216
sqnxt23_w1,69298
regnetx320,69410
mobilenetv2_w1,69630
resnext101_32x4d,69759
mixnet_m,70114
diaresnetbc14b,70189
sepreresnetbc38b,70256
selecsls42b,70438
sknet101,70443
menet160_8x1_g8,70565
sharesnet50,70909
dicenet_w2,70985
diaresnet152,71052
dpn98,71080
hrnetv2_w30,71427
selecsls84,71582
regnety008,71679
resnet152,71719
irevnet301,71889
wrn50_2,71948
